industry_type,production_scale,energy_source_type,energy_use_per_unit,water_consumption,material_input_tons,waste_generated_tons,recycled_percentage,hazardous_waste_tons,CO2_emissions_tons,NOx_emissions,wastewater_emission_index,recycling_rate,byproduct_reuse_index,energy_recovery_rate,cost_savings_from_recycling,production_cost_index,region,distance_to_industrial_area,population_density,eco_industrial_park_member,sustainability_certified,Symbiosis_Score_Percentage,Symbiosis_Potential
Cement,348.94068223373534,Mixed,3.749556430665404,3981.025737069714,178.9073841019432,122.83252231410205,91.42252643583011,19.809366973977482,190.6595942298436,10.631257166682595,0.16599446067512524,0.1943457204593042,0.8565780184514559,0.32178372177716036,25494.975205258197,0.8762623823631344,West,76.15319107095243,3141.513100539106,1,0,52.92134649505552,Medium
Electronics,371.4195834418282,Mixed,6.979553344386076,2592.4834104632437,407.394853124178,128.58412106153858,80.06277880344433,40.51651016292112,427.10927197037,23.953154720083592,0.30095227641158817,0.693911259823835,0.14790794799610474,0.43884592475364265,6979.414563890835,0.4046329597497705,North,10.491114838439103,1915.8455982058156,1,0,54.63484232068328,Medium
Food Processing,119.29945019063481,Mixed,6.411623291882263,2177.6691136143813,603.4103113765568,156.79572815274804,58.01152212098126,67.55218745524257,141.1677759578132,1.1215712247550038,0.5393793180281431,0.6820687576741017,0.47562264008072463,0.5251182780484114,15040.702707228585,0.48677986369140536,Central,4.567273955571547,4943.189257446315,1,0,53.60332446080721,Medium
Textile,155.489931070426,Mixed,3.169999560202525,895.1251732868191,154.25165389930828,214.14445880151436,25.270842096131908,19.137857093268636,539.9584415435422,10.752313822267032,0.7765908959833212,0.9202562531004629,0.7253178101675084,0.29573494959762275,27679.820639506797,0.6497229432171308,West,49.42066033718352,5067.421809947948,0,1,43.82192988756869,Medium
Plastic,132.96656331753272,Non-renewable,2.624278802307742,8092.004035711067,380.05330629987384,272.2997739607256,18.479902404741605,33.21710053474646,492.16802979649975,26.624592074877068,0.321240877788587,0.3201729658750979,0.600342200944109,0.8676453807079648,5724.890742151412,0.7394370275143535,West,76.02957293641725,3624.938048260628,0,1,29.0696529428875,Low
Electronics,139.6226814381186,Renewable,4.207642552749837,3664.7681540590775,412.13845580757857,45.63155917190355,14.633510642423033,49.207302989599064,87.92399868131433,1.7664765041187986,0.35638243047877394,0.7308009287307786,0.14052709093696147,0.46808022619228734,6835.55623179032,0.5066228342427206,North,79.19840433926777,3995.558340777182,1,1,51.117850070470425,Medium
Textile,347.9970524807975,Mixed,6.469441884300844,14846.760603804658,209.2142312514435,21.032689012853833,66.65469570175762,38.4950521180082,48.485895917471616,3.786471752102932,0.25615088517374884,0.44065873507786607,0.4069455128158751,0.4317400482071152,4343.315877681357,0.6985553862840825,East,39.76481129657614,7684.51663153922,0,0,38.17679460652246,Low
Food Processing,186.28685204958046,Renewable,7.721174493101218,8829.332960146983,136.66878251047382,10.46671391032832,78.64058170882942,36.760181325625396,503.8251490190962,12.089147719038499,0.2546093292953059,0.5526255124545214,0.5065155483951775,0.8147777440408993,39851.00689845941,0.8395672755218,East,38.510366444637675,5914.94839289505,0,0,45.46643699506539,Medium
Chemical,179.66216449460518,Mixed,6.345053482066008,2499.3364056621513,677.3156922392296,47.36830653030079,53.238135808146716,29.000778505769887,249.54914371121782,35.1732895450549,0.9488638458947966,0.7848084700405024,0.9462610415446455,0.3307805614831086,16708.91720686009,0.7359352723345571,South,52.3071741181253,1062.6936615641007,0,1,61.55806749309504,Medium
Automobile,152.76659868067605,Non-renewable,6.98644889512859,10487.056841764797,426.84923732207415,199.09509830557965,14.650704860859395,46.931706221994006,87.42768747525085,30.7130033265292,0.63545717961889,0.24979554051707803,0.2107471183912875,0.7857188100598649,36420.21637391611,0.7266136305613465,East,45.33951106198764,1854.6145527907656,1,1,40.10440133857665,Medium
Electronics,274.52620601416277,Mixed,5.221450143193616,13517.281714391018,60.78592698811473,219.6057380089665,55.51499884026374,49.94981583388882,612.3543898660595,1.3751868619416192,0.15590124353994683,0.35858186557467336,0.9341813904441012,0.1600455674492145,13156.25426012272,0.5291823950499696,West,51.458868493901214,7809.49774859736,1,1,53.477391617337304,Medium
Pharmaceutical,201.37782348337564,Renewable,6.847854815894881,11305.102682859408,652.2359759818279,237.01918549079605,89.53868722958678,52.26316327210901,264.95432235376245,20.31765625919543,0.7222485780842599,0.7459778031778372,0.38853480580649946,0.21450968002840964,30621.69747533884,0.8468575853029205,Central,70.17195519195575,5866.431319589544,1,1,63.84216842046834,Medium
Chemical,318.1598885898524,Non-renewable,6.490946006023924,1608.3779850719911,785.5953540609386,76.89392251178108,60.79712122925914,5.629448632482346,378.4876487178144,11.350156012502962,0.722021143360029,0.5634121237590748,0.23028843746643923,0.9057574995545612,10324.531419870398,0.46639376517664666,South,60.211881220033526,7337.351983928294,0,1,50.17990053381313,Medium
Automobile,145.785538680204,Mixed,3.6388987934839605,13490.320627293564,504.4446465606855,95.23896991214838,78.80133651933926,50.48273405696391,204.71408341394002,26.121503532951486,0.666470196053705,0.1331806252145632,0.42269817391159636,0.8082027417269372,20936.33896663351,0.4231682139718204,Central,40.756436551570054,2570.119419112032,0,1,43.12042435972521,Medium
Cement,332.09276438863753,Renewable,4.863932114845047,12011.976094969488,427.78129031305303,147.52472044182235,78.01297511329881,76.25897430249863,509.30732111921236,29.001378362441717,0.1347204450906636,0.43716728010066164,0.6025956116313355,0.3991090113107656,33335.39809323962,0.5185343602359023,Central,38.025427802013226,5986.56150867542,1,1,63.34849282297258,Medium
Paper,273.1908901536445,Renewable,6.633271853927864,2795.4065515314082,708.8118972837212,23.639013573766817,89.23097348135549,43.27889884224669,255.16096397640035,34.58307179660666,0.4079914834695869,0.5779699816757147,0.24214765451989628,0.6246108038453265,33020.707158013145,0.6900937324430965,West,51.88893638402305,5769.2211264833895,0,1,55.67516282933864,Medium
Steel,116.56553601782008,Renewable,1.3223971393296945,1250.8953866258446,764.3875922634489,185.28674934731762,75.46944508023923,57.22136660073954,775.0563497575502,19.278941365608564,0.10675633049441313,0.8685655848005474,0.31229517497191495,0.8986731704878602,32182.66725978163,0.8170067917167041,North,37.545090184783206,2498.5818864271255,0,0,40.097355760648796,Medium
Pharmaceutical,212.64146694516086,Renewable,6.65655497649081,8581.003342057473,615.9026869268454,295.20183493434854,73.55454369111261,44.538584620737424,568.2990879211872,39.780778497550585,0.8166205040921365,0.21963924494477477,0.8190918515617608,0.24067301257767582,33301.90769546501,0.37924726940839026,North,37.706789398719906,4496.367338515502,0,0,28.259932274735817,Low
Cement,356.32580499614625,Non-renewable,2.245216868343164,2762.5192644296653,384.0896973007159,111.43786185651075,29.89872652250445,68.3792494873583,126.64337557130331,39.20945123784082,0.6551721431779193,0.7753576715397346,0.949108515501981,0.10310942320070059,10035.946689623412,0.7882813063560978,North,3.2718603393473757,5093.837867908303,0,1,52.85490029374961,Medium
Food Processing,375.34727417551517,Mixed,4.6027853198500726,12601.568812631445,494.1660494985804,227.09000515195825,15.093638202291924,74.36664756780551,345.02197494530407,35.34558561660581,0.5072039367678184,0.16756203476893222,0.33635542234858373,0.5337212580547747,20324.218357294685,0.7876940368013972,East,15.577002717770057,3952.8281244542272,0,0,7.525185036554703,Low
Cement,229.02403914202023,Non-renewable,6.657928076891563,5695.852521739269,575.7015237634994,152.51000509303435,53.99595452957366,14.737591943708743,320.6284577893053,23.207345058743797,0.3430154765005966,0.26801209406822646,0.18397112355494621,0.17833719079723392,20425.116034692026,0.6521516139540517,North,40.10406391966874,6651.993911932499,0,1,27.496018412155266,Low
Paper,233.86783298850355,Mixed,2.776747547096864,13736.940448680343,195.70517825135107,42.704494086312906,20.57690767547419,34.948802924570124,436.71274636189884,16.221254281400693,0.1842494744944334,0.2690094951411107,0.7638537379946374,0.21858718344023764,35839.09451922067,0.7563887637468154,West,66.16696980592879,6696.378526024318,0,0,16.664502178340683,Low
Food Processing,373.90551198057636,Renewable,2.720652075143071,8702.478496044583,385.4007741623285,176.76004739676296,91.78664948362926,31.390568074617704,676.7059260938175,14.893259250521506,0.1064475888331079,0.8397312763179493,0.5904101185476307,0.8523852707584214,13281.889517178295,0.4091284188909524,East,23.740706524715684,6834.684276752143,0,0,46.277731684262136,Medium
Pharmaceutical,267.8618317237015,Mixed,3.819350789235763,3148.749571475188,672.3659485379637,93.46290919099916,34.64360482380743,32.41720986394229,475.06917184274135,0.9789276284659207,0.9692406075368996,0.22911592281348836,0.140361029038041,0.0566631127804022,37396.84394878383,0.40175160049242803,North,42.76618778422962,6466.70383896567,1,0,19.177365407196117,Low
Paper,90.51093447790026,Renewable,7.262499583043442,2524.1835767171015,541.0440113738323,15.148946493770179,82.50025728766491,10.041934498230072,68.01420852799944,10.342392641073477,0.19964864195602305,0.7582646542868682,0.9020943332924188,0.7851380238174817,19130.237979631762,0.8176800204772363,Central,28.90704261122011,4007.0511221377283,0,0,60.21582884809788,Medium
Textile,372.0798281213212,Mixed,1.0030994700604552,8858.850344587432,358.4030504088906,192.30427038473442,42.948093142209046,65.08925807845755,531.2242435062269,28.892925280492,0.05987462672138566,0.46562588061765786,0.12024457555990278,0.5152556987020468,27451.906120741914,0.5988890623407401,West,10.174711184087943,3175.218725562256,0,0,12.638519802260525,Low
Steel,159.4324616822886,Non-renewable,7.309681676493545,11547.312372005437,547.521900511011,258.38504305079465,37.47151123787708,2.86129944119482,26.44693239776955,24.34346794577613,0.9616667721824964,0.9491816910175797,0.612820761470277,0.5533649488807704,12217.558266614706,0.44756232855170947,West,76.74728167956145,6684.735012972091,1,0,50.156536504606606,Medium
Pharmaceutical,264.84222530929515,Mixed,2.0766491724912544,11831.83189226164,138.66680905434492,106.70708123546288,89.4884786520128,42.25812861817255,628.3691592215066,36.698676472117576,0.5489517413578271,0.8051823487868949,0.43154353030422327,0.6545911644107262,17591.32805958968,0.7132382145637943,South,68.66456187952353,4023.5713767388816,1,1,71.6415122307309,High
Textile,132.96426157695163,Mixed,7.930604632472375,4498.482364398578,351.1232079236572,120.13718642776729,40.88241862732904,52.9502710435753,539.9761364807688,2.4758795432040355,0.7966567349911429,0.7157328210030361,0.5509615264159422,0.4383004930772093,28972.435418627334,0.8351251001605327,West,8.122409108418701,2121.6969092982586,0,0,30.57035046567559,Low
Automobile,90.84133127891039,Renewable,7.6839289512692766,3461.5780042264287,644.8464034722923,267.8513964753274,43.1744722363666,16.597555044710177,260.85281351501703,6.633425825504559,0.04376584719831855,0.8336536759869759,0.24189277609412996,0.15405069937317328,21484.391390338355,0.67939358756655,Central,58.1434064725262,4157.279552113287,1,0,36.42935785651215,Low
Pharmaceutical,179.67141476248236,Renewable,4.462726327138983,742.966415139545,215.381590352486,245.01459994337,19.01780126709728,72.46801536790365,248.10460757982227,31.67512967940914,0.5669458574796546,0.6206273533445302,0.6692993593255865,0.14253820142434143,37366.90444415669,0.5084070257640103,West,29.111232539885016,1306.4286109700886,0,0,11.69005078268849,Low
Automobile,329.75862641474805,Renewable,4.589041734688397,10348.387692416956,189.47113066806327,215.91108294777425,66.9879665490133,67.08393656198345,642.6529373061184,14.661051432215684,0.39820996411799514,0.8092870308756478,0.9137477202200057,0.7289259792655483,30010.748704104142,0.5899426591758088,South,79.59828495081982,5594.710026670631,0,1,64.14768181382742,Medium
Food Processing,168.82789524141378,Mixed,4.37084538193098,1610.2397472863152,763.1139949373236,78.39513380717864,34.551350230588646,37.686698358714025,631.002619701204,5.174640681856178,0.7719644343498835,0.28501416262531026,0.46258328664042403,0.24893162894055637,23447.311169402798,0.7513616765672038,West,25.58708454666026,2820.1859966664692,0,1,31.78974837879101,Low
Textile,150.43110850595104,Renewable,5.448105519616658,6601.037425605924,207.42322218967303,273.51391321516013,59.77635426635811,32.8919145872111,294.79583641387273,39.85979495145352,0.03842564563905859,0.13793288999096742,0.5206624498114044,0.07529151525587978,35693.45075278391,0.3405007373234325,West,20.621598738282792,2233.1386278901437,0,1,24.198171173328845,Low
Steel,148.05785098919242,Mixed,1.6350519156445174,9224.391378265294,245.68893473762606,50.55264847406783,60.26489484452281,18.925434016888005,253.17922790222866,31.596386955439836,0.40169056856161434,0.6043388063780019,0.26583050351199317,0.931652500189047,27291.142773972286,0.4302987095738654,South,46.295462767821604,7660.768220631011,1,0,54.30965884619108,Medium
Paper,244.85557837018004,Mixed,1.2283256383909655,14088.079701335317,777.2119541782534,189.89730322808043,71.1319741256402,58.39945797159709,456.6633353285762,16.645270951945843,0.799073419486196,0.44122135339722734,0.8526811853759729,0.932352367424624,26598.177989976426,0.5775499119896683,West,67.13984074076993,6259.671766914799,0,0,45.547389802696486,Medium
Plastic,392.173221018482,Mixed,1.4039204989112921,5021.1309858586455,601.0314276987692,13.496348261223016,73.3455263246575,10.539503970557131,26.52521478763246,33.02222533937254,0.52269726463837,0.43379671576318873,0.9240569646259623,0.3903272036094018,11362.110659609836,0.6625445784582593,East,17.016472001944244,6339.142121246667,0,1,59.70581971951809,Medium
Cement,226.87647616544416,Renewable,4.110557444690601,4121.696355474537,574.6973997676462,194.89734286585903,53.72845692413085,54.41902030750264,84.48028962950299,27.38385286970656,0.550038740998604,0.5240730671870415,0.7576671965774489,0.07297146010140189,17004.564690072017,0.5034993546253947,West,57.333416038107835,5065.031360377631,1,1,60.44715256023553,Medium
Chemical,258.33771804481535,Renewable,2.9288355745363837,9985.322237148426,689.694787890936,86.75758380264115,38.13431554628926,67.39655888947308,118.41228031601466,31.704003003008417,0.0971646819659655,0.37524435040898824,0.5384961519438236,0.7045381927334747,27965.538798952817,0.47903455312192844,North,6.789713485007491,6745.547921980317,0,0,26.913782031918362,Low
Steel,355.40224572503485,Non-renewable,5.354276936596957,9478.965964776935,136.8673116775957,137.6547082691974,81.18332606095238,18.277726073361897,164.62121790519586,32.70065191384317,0.13233055612009137,0.6134535782985462,0.9111171420577676,0.7979108544371023,35888.08503636,0.32483051741983276,North,73.6769099626188,6121.467353074374,1,0,67.96236347647795,Medium
Textile,251.22231005877074,Mixed,7.947096025623453,5315.591857967806,579.4671774350054,106.85304285683065,36.3385801997212,69.31419223190049,419.3741388068659,3.8467829899675574,0.6769996053657859,0.07751153061286692,0.18846504983054913,0.16251232110422878,13990.803998506777,0.3195610632308685,East,8.323843459489305,4870.434892242209,1,0,23.542554701436774,Low
Plastic,139.02811885403395,Mixed,3.7042622115352613,13957.476614891904,427.76645699617916,55.96324309263192,53.13827302989317,2.6658559551606764,793.9486935916751,25.107429063679778,0.6750466222899199,0.9229022076935869,0.48064177390569657,0.17191275341831264,10188.453633833418,0.4672169125816954,West,73.31004735484467,7696.770334443395,0,0,28.30519743851994,Low
Steel,175.87069176527265,Renewable,5.016888778731594,12750.503748599675,671.862980213105,188.48433307769287,44.10646957231688,73.02299083092203,529.0384533629358,0.7680293425846898,0.9791033942522733,0.8822380928410134,0.5338451360537717,0.7900015997271115,24560.447195002518,0.6183036600537258,Central,40.28296545731082,1694.4406075384998,1,1,63.123595191891006,Medium
Textile,179.17981640595548,Non-renewable,3.9092272713513485,3747.746915043677,431.1062889988957,265.1827887664792,82.68166280742349,9.468978228103841,67.81305967039441,2.2165217288962396,0.7119529880655504,0.8917431463237402,0.492724777777139,0.8797166498437113,4553.489727903099,0.6338228978672469,West,36.951106798081746,7558.3618081590585,0,0,49.959350473874096,Medium
Electronics,207.14179694643133,Mixed,6.930901674053016,3967.566908800586,515.1810157016841,287.929851473309,46.71307514739545,51.66073423504261,429.95191176854854,36.20721035770571,0.4932434959334473,0.37850314602534646,0.7721764584608328,0.7616793530067346,29152.584655100196,0.5964164957201213,North,77.91795220102937,3331.2176635911464,0,0,27.822089971436515,Low
Electronics,216.5724497077598,Mixed,7.315654824235667,7928.355029862669,408.306594799652,61.74217713040495,42.81843105118617,20.006597513115345,407.38326566381346,21.33876699359382,0.8573278235335529,0.5287018618931898,0.6533626019147276,0.2306704542525766,28719.26464492427,0.5459284104017006,South,79.24996586046109,4321.512070531596,0,0,28.392480234361024,Low
Automobile,335.9302470637662,Non-renewable,7.14148928543682,11716.795475095445,408.61919266688307,216.62496834857714,68.63501389629918,66.9241912935691,132.45089633807862,29.56812844180673,0.10447298581593623,0.9087175427518177,0.1639926193264355,0.4203690974907988,15488.709177473893,0.45137495355679247,East,52.71389382495894,1157.3666924456097,0,1,50.32758968454487,Medium
Steel,191.80383969578656,Renewable,7.820605670754803,1138.5855011327335,625.9774835463736,200.98011314867628,61.20749433822263,40.98402887323732,737.812447665878,33.62078912250426,0.4492958208962545,0.8621114507848279,0.3618061766087543,0.5907581832793226,35921.75082710626,0.5404166589556694,South,11.915304764849784,4412.838023589969,0,1,44.788606044087054,Medium
Electronics,229.8341851012414,Mixed,1.192634295982907,10553.359729153246,521.4248004854624,106.2964479244989,19.115980847146915,10.819295299720109,363.79689318678777,38.00867731880111,0.28710911092756974,0.7612200283110325,0.35516916354819766,0.1942641264387458,21082.883378486844,0.3832559792313081,Central,41.481266681105794,4967.412664493909,0,1,37.20174238639732,Low
Textile,279.99231585633675,Mixed,6.878713135018717,9899.420512040406,524.9474012070577,10.634263809349122,53.19434853923688,45.679325706078274,795.756129675597,34.83943749295044,0.10463780692762559,0.41659843086283316,0.5590689735136358,0.23954224336925745,26539.0681263316,0.36915553741562207,West,43.27472187454167,7982.072026106487,0,0,20.163150161895985,Low
Automobile,200.87230318085417,Renewable,6.262405211273653,3856.4613907383296,387.71186287364435,208.4884179572955,72.51566300832604,32.63060881575865,347.65639029668813,19.59080222354311,0.7635020847203663,0.5579053008639561,0.3123125758921072,0.3045974648616995,9963.982313656838,0.47996595408827486,Central,42.126821394554156,7806.500806357907,0,1,42.09278908459454,Medium
Textile,347.70074025354654,Non-renewable,2.6008608658025536,10379.618691999558,448.33212225314566,283.92098386505256,94.32635499026529,52.91582532904809,494.2070080932152,13.770827141530203,0.5107920304988839,0.7636212267949829,0.15554459259851955,0.5085619432617529,17858.93273608,0.8972092778563319,South,46.42036340456076,7737.898876619441,1,0,50.9656736441874,Medium
Automobile,267.9851533549038,Mixed,7.694240653712693,14132.656273155199,609.2882496535905,191.47543596511716,63.47748088747713,70.55226278107676,101.71477843212325,6.6024828301385075,0.5567687198974907,0.29571079598602856,0.6383143990914218,0.5097243984597928,34771.86653025119,0.4958981685098391,West,3.460527675962472,2917.4268687960475,1,0,47.04109944395517,Medium
Steel,174.0942973507109,Mixed,2.0372454976096184,1178.3947520906436,669.4556893339387,133.41135363535207,41.47491064751201,32.751130494673475,374.29770256935797,16.312698558247558,0.411255187910329,0.6138044314053002,0.8159332446815202,0.7828650674127973,10091.702810029026,0.8618738342130632,Central,57.47572795469919,7931.878690211339,1,0,50.135111671783314,Medium
Plastic,308.498943932745,Renewable,5.756849489937359,5134.954801734907,572.4210516080346,159.92039876293038,29.222885983180063,23.19045436270877,206.23739732309917,14.976496376865956,0.4603372316027352,0.7951408923666711,0.8884472859193315,0.727709180618863,16841.826348513816,0.5353572874606165,North,57.56675555233306,3752.7295824418647,1,1,70.22395662053763,High
Paper,248.84727364633147,Renewable,2.5742315177113873,6853.562391662152,743.0547416342623,63.890498259675674,84.19056990303223,1.1612075622087037,671.7405428855633,22.603206257257,0.11601738712300314,0.6867093125596112,0.9253205758935282,0.8723621075989478,14086.908688268937,0.5634059947197656,North,11.006642463875258,6844.322818342824,0,0,55.73086368299705,Medium
Pharmaceutical,251.02588520231902,Mixed,4.019664541418523,13539.275204407999,665.2430661104007,226.4105283073526,79.23804302964773,45.987123028789995,631.457276196681,26.78762164590993,0.6729178242869764,0.4815325680719006,0.7530051615881126,0.7996115505421367,7742.187024861644,0.7782377299213378,East,46.47867651077246,1887.2957583479815,0,1,51.65235343659409,Medium
Plastic,233.9481434840275,Mixed,6.034119278611983,14452.790975832771,471.3978423571388,225.19384985290546,29.883439766247715,32.18198139451468,662.8603997077796,39.14385631957937,0.43244735960521374,0.5761475235996425,0.1757321854627119,0.2784897934750892,13009.280888846351,0.356182996468474,North,46.33217222999042,4145.498801321499,0,0,11.523097991107322,Low
Food Processing,239.04382362279966,Renewable,4.943272494231326,6939.671074196818,553.5545544828026,47.927603614290355,27.053727662458744,29.971937521186298,584.4153614512021,29.271254350978932,0.8167675731295833,0.9398079888312146,0.817800641813052,0.34816709237359983,10845.346775858236,0.4093879941561837,North,55.23113277485121,7734.894349795322,1,0,50.0905813187105,Medium
Textile,324.91400994119704,Mixed,3.992512819296782,11375.411976061772,744.731207690897,264.0036228373994,70.78662602894993,14.634825702737002,669.49291442364,25.92806703149547,0.1962872001430761,0.591789015182489,0.4099640660442265,0.5003809192692804,37096.55795753044,0.8843041589851288,South,8.661019986536324,7586.8448960027345,0,0,27.082268358481684,Low
Food Processing,112.95407338602097,Mixed,3.2843690165239106,8209.084844585002,514.3760331822938,84.41097314462506,36.770925263094554,34.40442761530194,176.64642513643827,13.73615115359953,0.20505509341883577,0.7570559786167793,0.7069201824131273,0.06284402110728013,30160.994572626245,0.6035504039764168,North,50.86725796675552,5533.132047007129,0,0,25.417626176093325,Low
Plastic,186.9960996193543,Renewable,6.877617589961532,8297.852553749959,668.605210984873,294.7655379763014,36.043897860766414,78.75535628666947,372.5941457322453,1.8629031216838763,0.6457595715306877,0.7039442879398964,0.5281412044647522,0.8635118056553492,14011.860107747325,0.32658580932517817,North,23.898652158214613,6422.951715913867,1,0,44.480486021188746,Medium
Automobile,104.16107641724454,Mixed,2.006700452203696,4532.442968462168,566.6078776924903,117.95638914098751,22.944671000750695,23.820332293779547,559.6405663578552,11.880942589760325,0.8460034233973969,0.6813415539764268,0.7957455202839052,0.0899097913061053,31006.88402322297,0.3284284398336303,South,41.54623325870141,1576.1282334987309,1,0,38.99884695955153,Low
Pharmaceutical,321.0387906391843,Renewable,4.010720135708601,3645.865565026253,463.9522707953499,57.475797326677394,32.43791917533554,47.97635307264802,517.1661483894052,30.853692068154903,0.4721978386181753,0.6947321496026392,0.4329551595557197,0.3401971437349726,2841.318215287113,0.8443444102664357,North,62.31923711091798,5828.936685976428,0,0,27.649996337143957,Low
Pharmaceutical,167.13659351049583,Non-renewable,7.326303002425995,4676.077515898596,231.37864656151484,108.75743284696742,46.338142395375215,62.118950505253345,578.7564966417879,8.608241661750169,0.7269538687331,0.45896877615331744,0.1056144296660187,0.562257312076766,22007.939009303318,0.8240190537352305,North,57.04038303631504,5020.796305015904,0,0,17.356023540171982,Low
Chemical,367.17773114204294,Mixed,6.920946853219774,8566.75610522765,369.4981396013211,134.85319696567197,72.29125866815532,59.932625854122534,194.9215388579607,28.63143365012752,0.9993299214930856,0.47674415706631273,0.5511413397942238,0.5160572497461792,11512.713421917579,0.5750394641670601,East,11.274435378883483,914.1035388597195,1,0,49.37535189648665,Medium
Pharmaceutical,248.505109330974,Renewable,3.8065923373113266,922.7501973202905,775.8071186252868,25.445793046296973,38.58618802516873,26.30194299940726,96.779073055092,23.401303781491926,0.9902656397289281,0.471076463624704,0.20416149920090587,0.6390139035432872,6344.238728723539,0.39793325156675924,North,48.112413395053714,1082.640251399475,0,0,22.854764725099056,Low
